Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,,994.9,85,,,1.2,-1,,,,
2017,1,1,01:00,UTC,,995.1,87,,,1.1,-0.8,,,,
2017,1,1,02:00,UTC,,995.2,86,,,1.6,-0.6,,,,
2017,1,1,03:00,UTC,,995.5,89,,,1.1,-0.5,,,,
2017,1,1,04:00,UTC,,995.8,87,,,0.4,-1.5,,,,
2017,1,1,05:00,UTC,,996.2,87,,,0,-1.9,,,,
2017,1,1,06:00,UTC,,996.6,89,,,-0.6,-2.2,,,,
2017,1,1,07:00,UTC,,997.2,87,,,-0.4,-2.2,,,,
2017,1,1,08:00,UTC,,997.8,87,,,-0.9,-2.8,,,,
2017,1,1,09:00,UTC,,998.6,90,,,-1.6,-3,,,,
2017,1,1,10:00,UTC,,999.1,89,,,-1.4,-3,,,,
2017,1,1,11:00,UTC,,999.4,87,,,-1,-3,,,,
2017,1,1,12:00,UTC,,999.9,89,,,-1.1,-2.6,,,,
2017,1,1,13:00,UTC,,1000.5,92,,,-1.4,-2.5,,,,
2017,1,1,14:00,UTC,,1001.2,90,,,-0.7,-2.2,,,,
2017,1,1,15:00,UTC,,1001.4,87,,,-1,-2.9,,,,
2017,1,1,16:00,UTC,,1001.6,89,,,-1.3,-2.9,,,,
2017,1,1,17:00,UTC,,1001.8,90,,,-1.8,-3.3,,,,
2017,1,1,18:00,UTC,,1002,85,,,-2.2,-4.4,,,,
2017,1,1,19:00,UTC,,1002.2,84,,,-2.4,-4.7,,,,
2017,1,1,20:00,UTC,,1002.5,86,,,-2.5,-4.6,,,,
2017,1,1,21:00,UTC,,1002.4,89,,,-2.9,-4.5,,,,
2017,1,1,22:00,UTC,,1002.5,91,,,-3.4,-4.7,,,,
2017,1,1,23:00,UTC,,1002.3,92,,,-3.2,-4.3,,,,
2017,1,2,00:00,UTC,,1002.2,91,,,-2.5,-3.7,,,,
2017,1,2,01:00,UTC,,1002.3,91,,,-2.4,-3.6,,,,
2017,1,2,02:00,UTC,,1002.3,89,,,-1.8,-3.4,,,,
2017,1,2,03:00,UTC,,1002.3,90,,,-1.7,-3.1,,,,
2017,1,2,04:00,UTC,,1002.2,90,,,-1.8,-3.2,,,,
2017,1,2,05:00,UTC,,1002.2,89,,,-2.1,-3.7,,,,
2017,1,2,06:00,UTC,,1002.2,91,,,-2.4,-3.6,,,,
2017,1,2,07:00,UTC,,1002.2,91,,,-2.5,-3.8,,,,
2017,1,2,08:00,UTC,,1002.5,88,,,-2.6,-4.3,,,,
2017,1,2,09:00,UTC,,1002.9,88,,,-2.6,-4.3,,,,
2017,1,2,10:00,UTC,,1002.8,87,,,-2.5,-4.3,,,,
2017,1,2,11:00,UTC,,1002.7,88,,,-2.5,-4.2,,,,
2017,1,2,12:00,UTC,,1002.5,91,,,-1.9,-3.1,,,,
2017,1,2,13:00,UTC,,1002.6,87,,,-1.7,-3.6,,,,
2017,1,2,14:00,UTC,,1002.7,81,,,-1.8,-4.7,,,,
2017,1,2,15:00,UTC,,1002.8,82,,,-1.9,-4.6,,,,
2017,1,2,16:00,UTC,,1002.9,84,,,-2.4,-4.8,,,,
2017,1,2,17:00,UTC,,1003.3,85,,,-2.6,-4.8,,,,
2017,1,2,18:00,UTC,,1003.5,86,,,-3.4,-5.3,,,,
2017,1,2,19:00,UTC,,1003.7,88,,,-4.1,-5.8,,,,
2017,1,2,20:00,UTC,,1003.7,88,,,-4.5,-6.2,,,,
2017,1,2,21:00,UTC,,1004.2,89,,,-4.8,-6.4,,,,
2017,1,2,22:00,UTC,,1004,88,,,-5.1,-6.8,,,,
2017,1,2,23:00,UTC,,1004,91,,,-6,-7.2,,,,
2017,1,3,00:00,UTC,,1003.7,92,,,-6.3,-7.4,,,,
2017,1,3,01:00,UTC,,1003.4,92,,,-6.7,-7.7,,,,
2017,1,3,02:00,UTC,,1003.1,92,,,-7.2,-8.2,,,,
2017,1,3,03:00,UTC,,1002.8,91,,,-7.4,-8.6,,,,
2017,1,3,04:00,UTC,,1002.8,91,,,-7.6,-8.8,,,,
2017,1,3,05:00,UTC,,1002.5,91,,,-7.4,-8.7,,,,
2017,1,3,06:00,UTC,,1002.3,91,,,-8.1,-9.4,,,,
2017,1,3,07:00,UTC,,1001.7,91,,,-8.4,-9.7,,,,
2017,1,3,08:00,UTC,,1001.5,91,,,-8.9,-10.1,,,,
2017,1,3,09:00,UTC,,1001.2,90,,,-9.6,-10.9,,,,
2017,1,3,10:00,UTC,,1000.5,90,,,-10,-11.3,,,,
2017,1,3,11:00,UTC,,999.6,90,,,-10.4,-11.7,,,,
2017,1,3,12:00,UTC,,999.4,89,,,-9.7,-11.1,,,,
2017,1,3,13:00,UTC,,998.7,89,,,-9.6,-11.1,,,,
2017,1,3,14:00,UTC,,998,89,,,-10.1,-11.6,,,,
2017,1,3,15:00,UTC,,998.1,88,,,-10.2,-11.8,,,,
2017,1,3,16:00,UTC,,997.8,88,,,-10,-11.7,,,,
2017,1,3,17:00,UTC,,997.4,87,,,-9.8,-11.4,,,,
2017,1,3,18:00,UTC,,997,87,,,-9.8,-11.5,,,,
2017,1,3,19:00,UTC,,996.8,87,,,-9.8,-11.6,,,,
2017,1,3,20:00,UTC,,996.9,87,,,-9.3,-11.1,,,,
2017,1,3,21:00,UTC,,997.5,86,,,-9.1,-11,,,,
2017,1,3,22:00,UTC,,998.2,85,,,-9.3,-11.4,,,,
2017,1,3,23:00,UTC,,999,84,,,-10.6,-12.8,,,,
2017,1,4,00:00,UTC,,999.9,83,,,-11.1,-13.4,,,,
2017,1,4,01:00,UTC,,1000.7,83,,,-11.3,-13.6,,,,
2017,1,4,02:00,UTC,,1001.6,82,,,-11.6,-13.9,,,,
2017,1,4,03:00,UTC,,1002.3,83,,,-11.8,-14,,,,
2017,1,4,04:00,UTC,,1003.3,84,,,-11.6,-13.8,,,,
2017,1,4,05:00,UTC,,1004.7,83,,,-12,-14.3,,,,
2017,1,4,06:00,UTC,,1006.1,84,,,-12.1,-14.4,,,,
2017,1,4,07:00,UTC,,1007.6,82,,,-12.8,-15.3,,,,
2017,1,4,08:00,UTC,,1009.1,81,,,-13.4,-15.9,,,,
2017,1,4,09:00,UTC,,1010.8,80,,,-14.2,-16.9,,,,
2017,1,4,10:00,UTC,,1012.2,81,,,-14.4,-17,,,,
2017,1,4,11:00,UTC,,1013.4,79,,,-14.6,-17.4,,,,
2017,1,4,12:00,UTC,,1014.9,79,,,-14.8,-17.7,,,,
2017,1,4,13:00,UTC,,1015.8,79,,,-15.3,-18.1,,,,
2017,1,4,14:00,UTC,,1017.2,77,,,-15.7,-18.7,,,,
