Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,8,992.5,95,,,-3.5,-4.1,23060,10,10.7,8.8
2017,1,1,01:00,UTC,3,993.1,93,,,-3,-4,31760,4,8.8,5.8
2017,1,1,02:00,UTC,0,993.9,87,,,-2.6,-4.4,31810,356,8.6,6.6
2017,1,1,03:00,UTC,0,994.3,87,,,-2.9,-4.7,29590,3,9.9,7
2017,1,1,04:00,UTC,0,994.8,87,,,-3.4,-5.3,28720,6,7,5.5
2017,1,1,05:00,UTC,1,995.4,86,,,-3.6,-5.6,27920,356,6.4,5.6
2017,1,1,06:00,UTC,1,995.6,87,,,-4.2,-6,27030,351,6.2,5.7
2017,1,1,07:00,UTC,0,996.4,88,,,-4.2,-6,29490,2,6.1,5.1
2017,1,1,08:00,UTC,0,997,89,,,-5,-6.5,27650,19,4.3,3.7
2017,1,1,09:00,UTC,0,997.6,93,,,-5.4,-6.4,20730,356,3.9,3
2017,1,1,10:00,UTC,1,997.8,89,,,-4.7,-6.2,20840,1,4,3.4
2017,1,1,11:00,UTC,3,998,90,,,-5.1,-6.5,22510,26,5.3,4.6
2017,1,1,12:00,UTC,1,998.7,92,,,-5.8,-6.9,23500,47,4.8,3.5
2017,1,1,13:00,UTC,1,999.4,90,,,-6.3,-7.6,24140,34,4.8,4.2
2017,1,1,14:00,UTC,1,999.4,94,,,-7.5,-8.3,24390,34,1.9,1.1
2017,1,1,15:00,UTC,0,1000.1,95,,,-8.3,-9,22170,33,2,1.2
2017,1,1,16:00,UTC,0,1000.5,94,,,-8.8,-9.7,24110,344,2.7,2
2017,1,1,17:00,UTC,0,1000.9,92,,,-8.7,-9.8,34100,62,4.4,3.7
2017,1,1,18:00,UTC,7,1001.2,91,,,-9.1,-10.2,29880,74,3.9,3.2
