Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,,999.5,98,,,4.1,3.8,,270,9.3,8.3
2017,1,1,01:00,UTC,,999.3,99,,,3.8,3.6,,270,7.9,7.4
2017,1,1,02:00,UTC,,999.1,99,,,3.5,3.3,,269,6.2,5.5
2017,1,1,03:00,UTC,,998.7,99,,,3.2,3,,261,4.6,4.2
2017,1,1,04:00,UTC,,998.6,99,,,3.2,3.1,,278,6.5,6
2017,1,1,05:00,UTC,,998.3,99,,,3,2.9,,257,6.7,6.3
2017,1,1,06:00,UTC,,998,99,,,3.1,2.9,,265,5.3,5.1
2017,1,1,07:00,UTC,,997.7,99,,,2.5,2.4,,283,3.8,3.5
2017,1,1,08:00,UTC,,998,99,,,2.6,2.5,,286,3,2.7
2017,1,1,09:00,UTC,,997.9,99,,,2.7,2.6,,242,3.5,3.3
2017,1,1,10:00,UTC,,997.7,99,,,2.9,2.8,,283,3.2,3
2017,1,1,11:00,UTC,,997.4,99,,,3,2.8,,258,4.1,3.8
2017,1,1,12:00,UTC,,997.7,99,,,2,1.9,,340,7.1,5.4
2017,1,1,13:00,UTC,,997.9,99,,,1.8,1.6,,325,6.2,4.5
2017,1,1,14:00,UTC,,998.1,99,,,1.1,1,,334,5.5,4.3
2017,1,1,15:00,UTC,,998.4,98,,,0,-0.3,,285,3.1,2.5
2017,1,1,16:00,UTC,,998.8,98,,,1,0.7,,322,5.6,4.4
2017,1,1,17:00,UTC,,999.2,97,,,1.2,0.7,,322,6.2,4.9
2017,1,1,18:00,UTC,,999.7,96,,,0.6,0,,341,7.6,6
2017,1,1,19:00,UTC,,1000.3,97,,,0,-0.4,,2,7.4,5.3
2017,1,1,20:00,UTC,,1000.8,96,,,-0.2,-0.8,,15,8.3,6.1
2017,1,1,21:00,UTC,,1001.3,92,,,-0.7,-1.8,,23,8.7,6.7
2017,1,1,22:00,UTC,,1001.8,92,,,-1.7,-2.7,,14,7.8,5.9
2017,1,1,23:00,UTC,,1001.8,92,,,-1.9,-3,,5,7.3,5.2
2017,1,2,00:00,UTC,,1001.9,94,,,-2.4,-3.3,,357,4.4,2.9
2017,1,2,01:00,UTC,,1001.8,95,,,-2.7,-3.4,,7,5.5,4.3
2017,1,2,02:00,UTC,,1001.8,96,,,-3.2,-3.7,,347,6.5,5.2
2017,1,2,03:00,UTC,,1002.1,97,,,-3.4,-3.8,,325,5.5,4
2017,1,2,04:00,UTC,,1001.8,97,,,-3.4,-3.8,,359,3.8,2.4
2017,1,2,05:00,UTC,,1001.7,97,,,-3.5,-3.9,,3,4.2,2.7
2017,1,2,06:00,UTC,,1001.6,97,,,-3.5,-4,,27,3.1,2
2017,1,2,07:00,UTC,,1001.5,96,,,-3.4,-3.9,,61,3.6,2.5
2017,1,2,08:00,UTC,,1001.7,95,,,-2.9,-3.6,,346,0.8,0.5
2017,1,2,09:00,UTC,,1001.6,95,,,-2.7,-3.4,,11,2.8,2
2017,1,2,10:00,UTC,,1001.4,96,,,-2.6,-3.2,,9,2.4,1.6
2017,1,2,11:00,UTC,,1001.2,95,,,-2.3,-2.9,,15,2.8,1.6
2017,1,2,12:00,UTC,,1001.6,95,,,-2.6,-3.3,,2,2.5,1.5
2017,1,2,13:00,UTC,,1001.5,95,,,-3.1,-3.8,,360,5,3.8
2017,1,2,14:00,UTC,,1001.4,94,,,-3.5,-4.3,,33,3.5,2.4
2017,1,2,15:00,UTC,,1001.4,94,,,-3.6,-4.4,,13,4.8,3.3
2017,1,2,16:00,UTC,,1001.6,93,,,-3.5,-4.5,,10,5.5,3.8
2017,1,2,17:00,UTC,,1001.6,92,,,-3.5,-4.5,,11,6,4.4
2017,1,2,18:00,UTC,,1001.9,91,,,-3.4,-4.7,,33,7.5,5.2
2017,1,2,19:00,UTC,,1001.9,91,,,-3.1,-4.4,,21,5.4,3.8
2017,1,2,20:00,UTC,,1002.2,95,,,-3.1,-3.9,,352,5.9,4.2
2017,1,2,21:00,UTC,,1002.2,94,,,-3.5,-4.4,,12,6.1,4.6
2017,1,2,22:00,UTC,,1002.6,94,,,-3.5,-4.3,,2,5.6,4.3
2017,1,2,23:00,UTC,,1002.4,94,,,-3.8,-4.7,,1,5,3.7
2017,1,3,00:00,UTC,,1002.3,94,,,-3.9,-4.7,,20,4.1,2.8
2017,1,3,01:00,UTC,,1002.4,95,,,-3.8,-4.5,,350,4.3,3.4
2017,1,3,02:00,UTC,,1002.1,95,,,-4.2,-4.9,,14,5,3.8
2017,1,3,03:00,UTC,,1002.1,95,,,-4.4,-5.1,,351,5.1,3.8
2017,1,3,04:00,UTC,,1002.1,96,,,-4.7,-5.3,,346,4.6,3.7
2017,1,3,05:00,UTC,,1002.1,96,,,-4.8,-5.4,,334,5.4,4.4
2017,1,3,06:00,UTC,,1002.1,95,,,-4.8,-5.5,,344,4.8,3.7
2017,1,3,07:00,UTC,,1002,95,,,-5.3,-6,,352,3.8,3.1
2017,1,3,08:00,UTC,,1002,95,,,-5,-5.7,,352,3.4,2.5
2017,1,3,09:00,UTC,,1001.6,96,,,-5.1,-5.6,,356,3.3,2
2017,1,3,10:00,UTC,,1001.4,96,,,-4.9,-5.5,,345,1.9,1.2
2017,1,3,11:00,UTC,,1000.8,95,,,-4.3,-5,,0,0.8,0
2017,1,3,12:00,UTC,,1000.1,93,,,-4.1,-5,,142,2,1.2
2017,1,3,13:00,UTC,,999.3,96,,,-5.2,-5.8,,190,2.7,2.1
2017,1,3,14:00,UTC,,998.9,95,,,-4.5,-5.2,,237,1.8,1.2
2017,1,3,15:00,UTC,,998.3,94,,,-4.7,-5.6,,179,2.7,1.8
2017,1,3,16:00,UTC,,997.6,95,,,-4.1,-4.7,,128,3.2,2.6
2017,1,3,17:00,UTC,,996.6,86,,,-3,-5,,107,6.1,4.8
2017,1,3,18:00,UTC,,995.9,85,,,-2.3,-4.5,,112,8.5,7
2017,1,3,19:00,UTC,,995.2,89,,,-2,-3.6,,107,10.2,8.4
2017,1,3,20:00,UTC,,994.4,96,,,-2.1,-2.7,,117,12.4,10.4
2017,1,3,21:00,UTC,,993.6,81,,,-1.2,-4.1,,137,14,11.7
2017,1,3,22:00,UTC,,992.9,76,,,-1.3,-4.9,,125,13.6,11.5
2017,1,3,23:00,UTC,,992.5,73,,,-1.4,-5.7,,118,14.8,12.8
2017,1,4,00:00,UTC,,991.6,82,,,-1.9,-4.6,,97,17,14.7
2017,1,4,01:00,UTC,,992,87,,,-2.2,-4.1,,96,18.4,15.9
2017,1,4,02:00,UTC,,992.1,85,,,-2.4,-4.7,,90,21.6,18.5
2017,1,4,03:00,UTC,,992.7,82,,,-3,-5.6,,85,23.8,20.1
2017,1,4,04:00,UTC,,993.4,80,,,-3,-5.9,,89,22.5,18.8
2017,1,4,05:00,UTC,,993.8,97,,,-3.6,-4.1,,81,26.9,22.2
2017,1,4,06:00,UTC,,995,94,,,-5.4,-6.3,,55,20.5,17
2017,1,4,07:00,UTC,,996.1,93,,,-6.5,-7.4,,55,20.4,17.6
2017,1,4,08:00,UTC,,997.3,94,,,-7.2,-8,,52,20.7,16.8
2017,1,4,09:00,UTC,,998.6,93,,,-7.6,-8.6,,52,20.2,16.8
2017,1,4,10:00,UTC,,999.8,92,,,-8,-9,,52,20.4,16.6
2017,1,4,11:00,UTC,,1000.8,89,,,-8.3,-9.8,,50,19.5,16.1
2017,1,4,12:00,UTC,,1002.1,88,,,-9.2,-10.8,,44,17.1,14.6
2017,1,4,13:00,UTC,,1003.6,88,,,-10.2,-11.8,,41,18.7,13.9
2017,1,4,14:00,UTC,,1005.1,88,,,-11,-12.7,,39,18.3,15.3
2017,1,4,15:00,UTC,,1007,87,,,-12.4,-14.2,,41,17.8,14.1
2017,1,4,16:00,UTC,,1008.7,83,,,-13.4,-15.7,,40,17.4,12.5
2017,1,4,17:00,UTC,,1009.9,84,,,-14.3,-16.4,,37,17.3,13.2
2017,1,4,18:00,UTC,,1011.1,82,,,-15.2,-17.5,,37,15.4,11.3
2017,1,4,19:00,UTC,,1012.4,81,,,-15.2,-17.7,,35,16.1,12
2017,1,4,20:00,UTC,,1013.5,83,,,-15.1,-17.4,,36,16,11.6
2017,1,4,21:00,UTC,,1014.7,86,,,-14.7,-16.5,,32,18.3,12.6
2017,1,4,22:00,UTC,,1015.8,85,,,-14.7,-16.7,,28,16.2,12.1
2017,1,4,23:00,UTC,,1016.7,89,,,-14.1,-15.5,,23,17.1,13.6
2017,1,5,00:00,UTC,,1017.7,87,,,-14.6,-16.2,,23,16.9,12.6
2017,1,5,01:00,UTC,,1018.7,88,,,-14.3,-15.8,,19,17.7,13.4
2017,1,5,02:00,UTC,,1019.9,88,,,-14.5,-16,,8,13.9,10.3
2017,1,5,03:00,UTC,,1020.8,88,,,-14.6,-16.1,,12,15,11.2
2017,1,5,04:00,UTC,,1021.7,88,,,-15,-16.6,,11,14.1,10.3
2017,1,5,05:00,UTC,,1022.9,88,,,-15.2,-16.8,,10,14.2,10.6
2017,1,5,06:00,UTC,,1023.7,87,,,-15.3,-16.9,,11,14.4,10.3
2017,1,5,07:00,UTC,,1024.5,88,,,-15.1,-16.6,,13,12.4,9.5
2017,1,5,08:00,UTC,,1025.8,88,,,-15,-16.6,,9,11.7,8.5
2017,1,5,09:00,UTC,,1026.8,88,,,-14.7,-16.3,,11,11.6,8.6
2017,1,5,10:00,UTC,,1027.8,88,,,-14.4,-15.9,,1,12.4,8.6
2017,1,5,11:00,UTC,,1028.3,87,,,-13.5,-15.2,,5,12.8,8
2017,1,5,12:00,UTC,,1028.6,83,,,-13.3,-15.5,,7,13.2,8.9
2017,1,5,13:00,UTC,,1029.7,83,,,-13,-15.3,,9,13.4,9.3
2017,1,5,14:00,UTC,,1030.6,81,,,-13,-15.5,,18,14.1,9.3
2017,1,5,15:00,UTC,,1031.5,80,,,-12.9,-15.6,,22,14.7,10.2
2017,1,5,16:00,UTC,,1032.4,83,,,-13.2,-15.4,,15,11.9,8.8
2017,1,5,17:00,UTC,,1033.2,81,,,-13.4,-16,,27,12.8,9.7
2017,1,5,18:00,UTC,,1034,83,,,-13.5,-15.8,,25,12.1,8.9
2017,1,5,19:00,UTC,,1034.9,82,,,-13.8,-16.3,,23,10.7,8.2
2017,1,5,20:00,UTC,,1035.4,84,,,-14,-16,,15,9.6,6.9
2017,1,5,21:00,UTC,,1036,84,,,-14.6,-16.7,,21,7.8,5.7
2017,1,5,22:00,UTC,,1036.7,87,,,-14.2,-15.9,,5,6.2,4.2
2017,1,5,23:00,UTC,,1036.7,88,,,-14.5,-16,,19,6.3,4.6
2017,1,6,00:00,UTC,,1037,89,,,-13.7,-15.1,,38,5.7,4
2017,1,6,01:00,UTC,,1037.3,80,,,-13.5,-16.3,,37,8.2,6.6
2017,1,6,02:00,UTC,,1037.6,88,,,-13.6,-15.2,,29,6.9,5.7
2017,1,6,03:00,UTC,,1037.9,90,,,-13.4,-14.8,,35,7.1,5.2
2017,1,6,04:00,UTC,,1038,89,,,-13.7,-15.1,,29,6,4.7
2017,1,6,05:00,UTC,,1038.1,88,,,-13.5,-15.1,,36,6,4.6
2017,1,6,06:00,UTC,,1038.3,87,,,-13.6,-15.3,,42,5.9,4.8
2017,1,6,07:00,UTC,,1038.8,89,,,-13.6,-15.1,,40,4.6,3.4
2017,1,6,08:00,UTC,,1039.1,87,,,-13.4,-15.1,,43,4.4,2.9
2017,1,6,09:00,UTC,,1039.3,84,,,-12.9,-15.1,,5,2.3,1.8
2017,1,6,10:00,UTC,,1038.8,78,,,-11.6,-14.6,,83,3.2,2
2017,1,6,11:00,UTC,,1038.5,78,,,-9.7,-12.8,,147,2,1.1
2017,1,6,12:00,UTC,,1037.4,82,,,-9.3,-11.8,,111,3.1,1.6
2017,1,6,13:00,UTC,,1037.3,87,,,-8.8,-10.5,,156,5.1,3.5
2017,1,6,14:00,UTC,,1036.6,76,,,-7.5,-11.1,,187,5.8,4.3
2017,1,6,15:00,UTC,,1036.3,72,,,-6.3,-10.6,,196,7.8,5.8
2017,1,6,16:00,UTC,,1035.8,71,,,-5.3,-9.8,,210,9.4,7.1
2017,1,6,17:00,UTC,,1035.1,85,,,-5.1,-7.3,,184,12.7,10.6
2017,1,6,18:00,UTC,,1034.2,85,,,-5.3,-7.4,,183,15.1,12.3
2017,1,6,19:00,UTC,,1033.3,85,,,-5.2,-7.4,,184,15.6,13.4
2017,1,6,20:00,UTC,,1032.6,77,,,-4.9,-8.3,,190,17.1,14.9
2017,1,6,21:00,UTC,,1031.7,83,,,-4.6,-7,,192,18.1,15.7
2017,1,6,22:00,UTC,,1030.2,85,,,-3.5,-5.6,,199,18,15.9
2017,1,6,23:00,UTC,,1029.2,88,,,-3.5,-5.2,,192,19.2,16.8
2017,1,7,00:00,UTC,,1027.7,90,,,-2.9,-4.3,,192,19.8,16.9
2017,1,7,01:00,UTC,,1026.4,86,,,-2.7,-4.8,,195,19.5,17.1
2017,1,7,02:00,UTC,,1025.2,85,,,-2.8,-5,,194,21,17.9
2017,1,7,03:00,UTC,,1023.7,85,,,-2.9,-5.2,,193,21,18.2
2017,1,7,04:00,UTC,,1022.6,88,,,-3.1,-4.7,,191,20.8,17.6
2017,1,7,05:00,UTC,,1020.9,96,,,-2.4,-3,,199,21,16.8
2017,1,7,06:00,UTC,,1020.3,96,,,-2.3,-2.9,,211,23,19.8
2017,1,7,07:00,UTC,,1020.4,97,,,-2.3,-2.7,,217,22.3,19.1
2017,1,7,08:00,UTC,,1019.8,97,,,-1.7,-2,,220,21.6,18.5
2017,1,7,09:00,UTC,,1019.5,98,,,-1,-1.2,,219,19.4,16.7
2017,1,7,10:00,UTC,,1018.6,97,,,0,-0.4,,220,19.6,17.1
2017,1,7,11:00,UTC,,1018.1,97,,,0.3,-0.2,,223,18.9,16.1
2017,1,7,12:00,UTC,,1018,99,,,-0.2,-0.4,,241,10.9,8.9
2017,1,7,13:00,UTC,,1018.3,98,,,-0.1,-0.4,,278,9.7,8.6
2017,1,7,14:00,UTC,,1018.8,98,,,0.2,-0.2,,276,8.6,6.8
2017,1,7,15:00,UTC,,1019.2,98,,,-0.2,-0.5,,293,6.9,6.2
2017,1,7,16:00,UTC,,1019.8,96,,,0,-0.6,,284,8.4,7.1
2017,1,7,17:00,UTC,,1020.3,96,,,0,-0.7,,273,8,6.8
2017,1,7,18:00,UTC,,1020.4,96,,,-0.2,-0.8,,279,6.3,5.5
2017,1,7,19:00,UTC,,1020.8,95,,,-0.3,-1,,279,5.8,4.8
2017,1,7,20:00,UTC,,1021.5,95,,,-0.3,-0.9,,266,5.6,4.9
2017,1,7,21:00,UTC,,1021.7,96,,,0.1,-0.4,,264,5.6,4.7
2017,1,7,22:00,UTC,,1022,97,,,0.8,0.4,,257,6.3,5.6
2017,1,7,23:00,UTC,,1022.2,96,,,1.4,0.8,,244,7.7,6.8
2017,1,8,00:00,UTC,,1022.4,96,,,1.1,0.6,,256,8.2,7.5
2017,1,8,01:00,UTC,,1022.5,96,,,0.8,0.3,,257,7.8,7.2
2017,1,8,02:00,UTC,,1022.4,97,,,0.8,0.3,,249,7.5,6.7
2017,1,8,03:00,UTC,,1022.8,97,,,0.7,0.3,,256,7.6,6.7
2017,1,8,04:00,UTC,,1022.7,96,,,0.9,0.3,,262,8.2,6.9
2017,1,8,05:00,UTC,,1023,93,,,1.3,0.4,,260,8.9,7.1
2017,1,8,06:00,UTC,,1023,92,,,1.3,0.2,,261,10.5,9.2
2017,1,8,07:00,UTC,,1023.1,92,,,1.2,0,,261,10.2,8.9
2017,1,8,08:00,UTC,,1023.6,89,,,1.4,-0.2,,254,11.2,10.2
2017,1,8,09:00,UTC,,1023.4,92,,,1.5,0.3,,244,9.8,8.8
2017,1,8,10:00,UTC,,1023,90,,,2,0.5,,240,9,8.3
2017,1,8,11:00,UTC,,1022.4,84,,,2.6,0.1,,247,10.1,8.9
2017,1,8,12:00,UTC,,1022.4,86,,,1.9,-0.1,,252,12.2,10.8
2017,1,8,13:00,UTC,,1021.9,89,,,1.8,0.1,,245,12.9,10.9
2017,1,8,14:00,UTC,,1021.5,89,,,2,0.4,,240,13.6,11.7
2017,1,8,15:00,UTC,,1021.1,90,,,1.8,0.4,,237,15.1,13.3
