Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,,993.2,99,0,56,-1.2,-1.4,,109,2.8,2
2017,1,1,01:00,UTC,,994.4,98,0,56,-1.7,-2,,84,2.3,1
2017,1,1,02:00,UTC,,995.6,95,0,56,-2.4,-3,,95,2.4,1.5
2017,1,1,03:00,UTC,,996.2,95,0,55,-3,-3.8,,111,3.6,2.4
2017,1,1,04:00,UTC,,997.1,94,0,55,-4,-4.8,,237,1.3,0.9
2017,1,1,05:00,UTC,,997.9,96,0,55,-5.6,-6.2,,75,1.4,0.8
2017,1,1,06:00,UTC,,998.6,96,0,55,-6.7,-7.3,,0,0,0
2017,1,1,07:00,UTC,,999.5,97,0,55,-5,-5.4,,254,1.6,0.8
2017,1,1,08:00,UTC,,1000.3,97,0,55,-4.7,-5.1,,263,1.8,0.8
2017,1,1,09:00,UTC,,1001,97,0,55,-5.6,-6,,103,1.1,0.6
2017,1,1,10:00,UTC,,1001.6,98,0,54,-4,-4.3,,247,2.2,1.4
2017,1,1,11:00,UTC,,1001.9,97,0,54,-3.7,-4,,237,1.6,0.8
2017,1,1,12:00,UTC,,1002.4,97,0,54,-3,-3.4,,80,2.9,1.8
2017,1,1,13:00,UTC,,1002.9,96,0.5,55,-3.1,-3.6,,84,2.2,1
2017,1,1,14:00,UTC,,1003.3,96,0.2,56,-3.3,-3.9,,73,3.9,1.6
2017,1,1,15:00,UTC,,1003.8,95,0,56,-4.6,-5.2,,0,0,0
2017,1,1,16:00,UTC,,1004.3,96,0,56,-5.5,-6.1,,212,1.6,1
2017,1,1,17:00,UTC,,1004.2,96,0,56,-5.6,-6.1,,214,1.8,0.9
2017,1,1,18:00,UTC,,1004.4,94,0,55,-7.7,-8.5,,297,1.3,0.7
2017,1,1,19:00,UTC,,1004.5,94,0,55,-9.1,-9.8,,236,1.9,1
2017,1,1,20:00,UTC,,1005.1,92,0,55,-11.2,-12.2,,233,3.1,2.1
2017,1,1,21:00,UTC,,1005.3,92,0,55,-11.8,-12.9,,251,2,1
2017,1,1,22:00,UTC,,1005.6,93,0,55,-10.3,-11.2,,233,2.4,1.2
2017,1,1,23:00,UTC,,1005.8,93,0,55,-10.5,-11.4,,255,2.1,1
2017,1,2,00:00,UTC,,1006,94,0,55,-9.4,-10.1,,244,2.9,1.4
2017,1,2,01:00,UTC,,1005.7,93,0,54,-10.3,-11.2,,153,3.9,1.3
2017,1,2,02:00,UTC,,1005.6,92,0,54,-11.6,-12.6,,241,3.3,1.5
2017,1,2,03:00,UTC,,1005.7,90,0,54,-13.5,-14.8,,254,2.4,1.8
2017,1,2,04:00,UTC,,1005.9,89,0,54,-15.9,-17.3,,223,1.4,0.8
2017,1,2,05:00,UTC,,1006,87,0,54,-17.4,-18.9,,226,2.3,1.3
2017,1,2,06:00,UTC,,1006.2,87,0,53,-18.8,-20.5,,216,1.8,0.6
2017,1,2,07:00,UTC,,1006.4,92,0,54,-16.4,-17.4,,263,1.6,1
2017,1,2,08:00,UTC,,1006.8,88,0,53,-16.4,-17.9,,0,0,0
2017,1,2,09:00,UTC,,1007.2,86,0,53,-18.3,-20.1,,237,1.7,1.2
2017,1,2,10:00,UTC,,1007.5,84,0,53,-20.9,-22.9,,235,1.2,0.6
2017,1,2,11:00,UTC,,1007.9,82,0,53,-23.1,-25.3,,234,1,0.5
2017,1,2,12:00,UTC,,1007.8,81,0,53,-24.4,-26.8,,0,0,0
2017,1,2,13:00,UTC,,1007.9,81,0,53,-25.3,-27.6,,249,1.3,0.9
2017,1,2,14:00,UTC,,1008.1,82,0,52,-24.1,-26.2,,273,1.6,0.7
2017,1,2,15:00,UTC,,1008.1,81,0,52,-24.3,-26.6,,229,1.2,0.8
2017,1,2,16:00,UTC,,1008.1,81,0,52,-24.8,-27,,30,0.9,0.5
2017,1,2,17:00,UTC,,1008.3,87,0,52,-21.1,-22.7,,228,1.2,0.5
2017,1,2,18:00,UTC,,1008.2,83,0,53,-21.5,-23.7,,0,0,0
2017,1,2,19:00,UTC,,1008.5,81,0,53,-23.9,-26.2,,0,0,0
2017,1,2,20:00,UTC,,1008.8,83,0,53,-23.3,-25.4,,260,1.6,0.9
2017,1,2,21:00,UTC,,1009,80,0,52,-24,-26.4,,288,1.4,0.6
2017,1,2,22:00,UTC,,1009.1,81,0,53,-25.5,-27.9,,233,1,0.7
2017,1,2,23:00,UTC,,1009.1,81,0,53,-24.4,-26.7,,0,0,0
2017,1,3,00:00,UTC,,1009,78,0,52,-26.4,-29,,238,1.5,0.8
2017,1,3,01:00,UTC,,1009.4,76,0,52,-28.4,-31.3,,42,0.9,0.5
2017,1,3,02:00,UTC,,1009.4,76,0,52,-29.7,-32.6,,242,2.1,1.1
2017,1,3,03:00,UTC,,1009.6,75,0,52,-30.6,-33.6,,0,0,0
2017,1,3,04:00,UTC,,1009.7,74,0,52,-31.6,-34.7,,231,0.8,0.5
2017,1,3,05:00,UTC,,1009.4,74,0,52,-31.5,-34.6,,291,1.6,0.8
2017,1,3,06:00,UTC,,1009.1,77,0,52,-29.9,-32.6,,91,1.1,0.5
2017,1,3,07:00,UTC,,1009.4,74,0,51,-31.3,-34.4,,81,1.8,0.6
2017,1,3,08:00,UTC,,1009.6,74,0,51,-31.9,-35,,183,1.3,0.8
2017,1,3,09:00,UTC,,1010.1,72,0,51,-33.1,-36.4,,238,1.2,0.8
2017,1,3,10:00,UTC,,1010.2,74,0,51,-32.3,-35.3,,253,1.4,0.7
2017,1,3,11:00,UTC,,1010.6,73,0,51,-32.6,-35.8,,100,1.5,0.9
2017,1,3,12:00,UTC,,1011.4,72,0,51,-33.6,-37,,183,1.4,0.6
2017,1,3,13:00,UTC,,1011.8,72,0,51,-33.5,-36.8,,0,0,0
2017,1,3,14:00,UTC,,1012.4,71,0,51,-34.4,-37.8,,224,1.5,0.8
2017,1,3,15:00,UTC,,1012.8,71,0,51,-34.6,-37.9,,253,1.9,1.1
2017,1,3,16:00,UTC,,1013.5,70,0,51,-35.4,-38.9,,233,1.3,0.7
2017,1,3,17:00,UTC,,1014.1,70,0,51,-35.3,-38.8,,244,1.4,0.7
2017,1,3,18:00,UTC,,1014.4,70,0,51,-35.9,-39.4,,237,2.7,1.5
2017,1,3,19:00,UTC,,1015.1,69,0,51,-36.1,-39.7,,0,0,0
2017,1,3,20:00,UTC,,1015.8,68,0,50,-37,-40.7,,77,1,0.5
2017,1,3,21:00,UTC,,1016.1,70,0,50,-36.5,-40,,246,2.3,1.3
2017,1,3,22:00,UTC,,1017.1,68,0,50,-37.5,-41.2,,0,0,0
2017,1,3,23:00,UTC,,1017.2,68,0,50,-37.8,-41.5,,246,2.5,1.3
2017,1,4,00:00,UTC,,1017.5,68,0,50,-37.7,-41.4,,254,1.5,0.9
2017,1,4,01:00,UTC,,1018,68,0,50,-38.1,-41.9,,0,0,0
2017,1,4,02:00,UTC,,1017.9,68,0,50,-37.9,-41.6,,199,1.1,0.6
2017,1,4,03:00,UTC,,1018.3,67,0,50,-38.4,-42.2,,0,0,0
2017,1,4,04:00,UTC,,1018.5,67,0,50,-38.6,-42.4,,0,0,0
2017,1,4,05:00,UTC,,1018.6,67,0,50,-38.6,-42.5,,0,0,0
2017,1,4,06:00,UTC,,1018.8,68,0,50,-38.1,-41.8,,249,1.2,0.6
2017,1,4,07:00,UTC,,1018.9,69,0,50,-37.4,-41,,97,1.4,1
2017,1,4,08:00,UTC,,1019,74,0,50,-32.4,-35.5,,34,1.2,0.5
2017,1,4,09:00,UTC,,1019.3,77,0,50,-29.2,-31.9,,257,3,1.5
2017,1,4,10:00,UTC,,1019.1,76,0,50,-29.4,-32.2,,188,2.1,1
2017,1,4,11:00,UTC,,1019.3,75,0,49,-30.2,-33.2,,104,2.2,1.1
2017,1,4,12:00,UTC,,1019.1,77,0,50,-29,-31.7,,111,1.8,1
2017,1,4,13:00,UTC,,1018.6,79,0,50,-26.6,-29.2,,0,0,0
2017,1,4,14:00,UTC,,1018.4,78,0,49,-27.2,-29.9,,0,0,0
2017,1,4,15:00,UTC,,1018.6,80,0,50,-26.3,-28.7,,0,0,0
